latitude;longitude;ground speed
48.656216;12.494202;0
48.656216;12.494202;0
48.656216;12.494202;0
48.656216;12.494202;0
48.656216;12.494373;3
48.656216;12.494373;9
48.656216;12.494717;14,7
48.656216;12.49506;20,5
48.656387;12.495403;26,2
48.656387;12.495918;32
48.656387;12.496433;37,3
48.656559;12.496948;42,6
48.656731;12.497978;50,1
48.656731;12.498837;54,6
48.656902;12.499695;58,8
48.65707;12.500553;62,7
48.65707;12.501411;66,1
48.657246;12.502441;69,5
48.657417;12.503471;71,5
48.657417;12.503986;71,8
48.657589;12.504845;71,8
48.657589;12.505875;71,1
48.657761;12.506905;70,3
48.657932;12.507763;69,8
48.658104;12.508793;70,5
48.658104;12.509823;72,3
48.658276;12.510853;74,7
48.658447;12.511883;76,5
48.658619;12.512913;77,5
48.658791;12.513943;78,2
48.658962;12.515144;81
48.65913;12.516346;83,7
48.659306;12.518063;86,3
48.659477;12.519264;87,3
48.659649;12.520466;87,7
48.659821;12.521667;88
48.659821;12.522869;88
48.659992;12.523556;88,1
48.660164;12.525444;88,6
48.660336;12.526646;89,1
48.660507;12.527847;89,6
48.660679;12.529049;89,3
48.660679;12.530251;88,8
48.660851;12.531452;88,2
48.661022;12.532654;87,5
48.661194;12.533855;86,8
48.661194;12.534542;86,6
48.661366;12.536259;86,1
48.661537;12.53746;85,8
48.661709;12.538662;85,7
48.66188;12.539864;85,5
48.662052;12.540894;85,2
48.662224;12.54158;85,2
48.662567;12.543297;85,3
48.662739;12.544327;85,5
48.663082;12.545528;85,5
48.663254;12.546558;85,2
48.663597;12.54776;84,8
48.66394;12.54879;84,3
48.664284;12.54982;83,8
48.664799;12.55085;83,6
48.665146;12.551708;83,3
48.665485;12.552738;83
48.666;12.553768;82,8
48.666344;12.554626;82,5
48.666859;12.555656;82,1
48.667374;12.556515;82,5
48.667889;12.557373;83
48.668404;12.55806;84,2
48.66909;12.558918;85,8
48.669605;12.559776;87,3
48.670292;12.560635;88,8
48.670807;12.561493;90,2
48.671837;12.562695;91,6
48.672523;12.563553;91,8
48.673038;12.564411;91,8
48.673725;12.565269;91,5
48.674412;12.566128;91,1
48.675098;12.566986;90,8
48.675613;12.567673;90,8
48.6763;12.568531;90,8
48.676987;12.569218;91,1
